NO.,Fecha/hora,Intervalo,Temperatura interior,Humedad interior,Temperatura exterior,Humedad exterior,Presion relativa,Presion absoluta,Velocidad del viento(mph),ráfaga(mph),Direccion del viento,Punto de rocio(c°),sensacion termica(°C),Hora de lluvia(mm),24 Hour Rainfall(mm),Semana de lluvia(mm),Mes de lluvia(mm),Total de lluvia(mm)
1273,21/09/2018 12:20,5,26,54,25.6,52,29.88,26.33,0,0,---,15,25.6,0,0,0,0,0
1274,21/09/2018 12:22,5,24.8,66,24.7,66,29.88,26.33,0,0,---,18,24.7,0,0,0,0,0
1275,21/09/2018 12:25,5,26,51,25.6,50,29.88,26.33,0,0,---,14.4,25.6,0,0,0,0,0
1276,21/09/2018 12:27,5,24.8,66,24.7,66,29.88,26.33,0,0,---,18,24.7,0,0,0,0,0
1277,21/09/2018 12:30,5,25.2,50,25.4,48,29.88,26.33,0,0,---,13.6,25.4,0,0,0,0,0
1278,21/09/2018 12:32,5,24.8,66,24.7,66,29.88,26.33,0,0,---,18,24.7,0,0,0,0,0
1279,21/09/2018 12:35,5,25.2,50,25.3,46,29.88,26.33,0,0,---,12.9,25.3,0,0,0,0,0
1280,21/09/2018 12:37,5,24.8,66,24.7,66,29.88,26.33,0,0,---,18,24.7,0,0,0,0,0
1281,21/09/2018 12:40,5,25.2,48,25.1,45,29.88,26.33,0,0,---,12.4,25.1,0,0,0,0,0
1282,21/09/2018 12:42,5,24.8,67,24.8,67,29.88,26.33,0,0,---,18.3,24.8,0,0,0,0,0
1283,21/09/2018 12:45,5,25.2,47,24.9,46,29.87,26.32,0,0,---,12.5,24.9,0,0,0,0,0
1284,21/09/2018 12:47,5,24.8,67,24.8,67,29.88,26.33,0,0,---,18.3,24.8,0,0,0,0,0
1285,21/09/2018 12:50,5,25.1,47,24.7,45,29.87,26.32,0,0,---,12,24.7,0,0,0,0,0
1286,21/09/2018 12:52,5,24.8,67,24.8,67,29.88,26.33,0,0,---,18.3,24.8,0,0,0,0,0
1287,21/09/2018 12:55,5,25.1,47,24.3,46,29.87,26.32,0,0,---,12,24.3,0,0,0,0,0
1288,21/09/2018 12:57,5,24.8,67,24.8,67,29.88,26.33,0,0,---,18.3,24.8,0,0,0,0,0
1289,21/09/2018 13:00,5,25,47,24,45,29.86,26.31,0,0,---,11.4,24,0,0,0,0,0
1290,21/09/2018 13:02,5,24.8,67,24.8,67,29.88,26.33,0,0,---,18.3,24.8,0,0,0,0,0
1291,21/09/2018 13:05,5,25,46,24,45,29.86,26.31,0,0,---,11.4,24,0,0,0,0,0
1292,21/09/2018 13:07,5,24.8,67,24.8,67,29.88,26.33,0,0,---,18.3,24.8,0,0,0,0,0
1293,21/09/2018 13:10,5,24.9,47,23.9,46,29.86,26.31,0,0,---,11.6,23.9,0,0,0,0,0
1294,21/09/2018 13:12,5,24.8,68,24.8,68,29.88,26.33,0,0,---,18.5,24.8,0,0,0,0,0
1295,21/09/2018 13:15,5,24.7,47,23.9,45,29.86,26.31,0,0,---,11.3,23.9,0,0,0,0,0
1296,21/09/2018 13:17,5,24.8,68,24.8,68,29.88,26.33,0,0,---,18.5,24.8,0,0,0,0,0
